"","LB-Glucose","Glycerol...AA-Glucose","Acetate-Glucose","Fumarate-Glucose","Glucosamine-Glucose","Glycerol-Glucose","Pyruvate-Glucose","Chemostat.µ.0.5-Glucose","Chemostat.µ.0.35-Glucose","Chemostat.µ.0.20-Glucose","Chemostat.µ.0.12-Glucose","Stationary.phase.1.day-Glucose","Stationary.phase.3.days-Glucose","Osmotic.stress.glucose-Glucose","X42.C.glucose-Glucose","pH6.glucose-Glucose","Xylose-Glucose","Mannose-Glucose","Galactose-Glucose","Succinate-Glucose","Fructose-Glucose"
"RPOC",1,1,1,0,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1
"RPOB",1,1,0,-1,1,0,1,1,1,1,1,1,1,-1,1,0,1,1,0,1,1
"ACNB",1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1
"PURL",-1,-1,-1,0,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
"GLTB",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,1
"ACEE",1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,0,-1,0,1
"ADHE",-1,-1,1,0,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"TUFA",1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"METE",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"GROL",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
"CARB",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"PFLB",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"DNAK",1,1,1,1,0,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1
"INFB",1,1,-1,0,-1,0,1,1,1,1,1,-1,-1,-1,1,-1,1,1,-1,0,1
"ILVC",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1
"PPC",-1,-1,-1,-1,0,-1,-1,1,0,-1,-1,-1,-1,-1,-1,1,0,-1,-1,-1,1
"ALAS",1,0,-1,-1,-1,0,1,0,0,-1,-1,1,1,-1,1,1,1,1,0,1,1
"FUSA",1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
"GLYS",1,1,0,0,-1,0,1,1,0,-1,-1,-1,0,-1,1,-1,1,1,0,0,1
"MAEB",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"RPSA",1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
"LEUS",0,0,0,0,-1,-1,-1,0,0,0,0,-1,0,-1,1,-1,0,-1,-1,0,0
"THRA",-1,-1,-1,-1,0,-1,1,1,-1,-1,-1,-1,0,1,-1,-1,1,-1,-1,-1,1
"SUCA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ILES",-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,1,-1,1,-1,-1,-1,-1
"ALDA",1,1,1,1,1,1,1,1,1,1,1,0,1,-1,-1,-1,1,1,1,1,1
"SECA",1,1,0,1,1,0,1,1,1,1,1,-1,0,-1,-1,-1,0,1,0,0,1
"ASPS",1,-1,0,-1,-1,-1,-1,1,1,0,1,1,1,-1,-1,1,1,0,-1,0,1
"PHET",1,0,-1,-1,-1,0,1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,0,1
"VALS",1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1
"DPPA",-1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
"ACEF",1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,1,1,0,1,1,-1,-1,-1,1
"KATG",-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,-1,0,1,1,1,1
"GYRA",1,1,0,-1,1,0,0,1,1,1,1,0,0,-1,0,-1,0,1,-1,0,1
"ICD",-1,-1,1,1,1,-1,1,1,1,-1,-1,-1,-1,1,-1,-1,0,1,-1,0,-1
"ATPD",1,1,0,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,0
"PEPN",1,1,1,1,1,1,1,1,1,1,1,-1,0,-1,0,0,1,1,1,1,1
"PYKF",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,-1,-1,1,1,-1,0,-1,1
"ACEA",-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1
"FUMA",1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,1
"PUTA",1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0
"KATE",-1,-1,1,1,1,1,1,1,1,1,1,0,0,0,-1,1,-1,1,1,1,0
"HTPG",1,1,-1,1,0,0,-1,1,0,-1,-1,1,1,-1,1,1,1,1,-1,1,0
"TSF",1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,-1,-1
"PTSI",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"ARGG",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"GLPK",1,1,1,1,0,1,1,1,1,1,1,1,1,-1,0,0,0,1,1,1,-1
"PTA",1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"TIG",1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"BAMA",0,1,-1,0,0,0,1,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,-1,-1,0
"PNP",1,1,1,1,1,1,1,1,1,1,1,0,-1,-1,-1,-1,1,1,0,1,1
"PGI",-1,1,-1,-1,0,1,-1,-1,-1,-1,-1,1,1,-1,1,1,1,0,1,-1,0
"SDHA",1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,-1,1,1,1,1,1
"LON",1,1,-1,0,0,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1
"ACS",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"PPSA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1
"GUAA",-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"MUKB",1,0,0,0,1,0,1,1,1,1,1,-1,-1,-1,1,0,1,1,1,1,1
"YJJK",1,1,-1,1,0,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,0,1,0,1,1
"GYRB",1,1,0,-1,0,0,0,1,1,1,0,1,1,-1,0,0,0,0,-1,-1,1
"RNE",1,1,0,0,1,0,0,1,1,1,1,1,1,-1,1,-1,1,1,0,0,1
"THRS",1,0,0,1,0,1,0,1,1,1,1,1,1,-1,1,0,1,0,0,0,1
"PGK",0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,0,1,-1,1,-1,1
"GDHA",-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
"GLYA",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
"OPPA",-1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
"FTSZ",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
"ACEB",-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"NUOG",1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1
"CYSI",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"POLA",1,0,1,1,0,0,1,1,1,1,1,0,0,-1,-1,-1,0,0,0,0,0
"GAPA",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1
"PURH",-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,1,1,0,-1,-1,0,1
"TNAA",1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,0,0,1,1,1,1
"ACNA",1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,-1,1,1,1,1
"NUOC",1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,0,1,1,1,1,1
"GLNA",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"LEUA",-1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1
"ALDB",-1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,-1,0,1,1,1,-1
"DLD",-1,-1,1,1,0,0,1,1,1,1,1,1,1,0,-1,0,1,1,1,1,0
"GLCB",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
"GLTA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AHPF",1,1,1,1,1,0,-1,0,0,-1,-1,-1,-1,-1,1,1,1,1,-1,1,1
"OMPA",-1,1,-1,-1,1,-1,-1,1,1,1,0,1,1,1,-1,-1,1,-1,-1,-1,-1
"GLMS",-1,1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,0,1
"PROS",1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,1,1,-1,1,1
"RPLB",1,1,-1,-1,1,-1,0,1,1,-1,-1,1,0,-1,1,1,1,-1,-1,-1,1
"NRDA",1,1,0,0,1,1,1,1,1,1,1,1,1,-1,1,0,1,1,1,1,1
"PRLC",1,1,1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,1,1,0,0
"ISCS",-1,-1,1,-1,-1,0,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,1
"GLPD",1,1,0,-1,-1,1,-1,0,0,0,0,1,1,1,1,1,1,1,1,0,1
"ATPA",1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1
"CYSJ",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
"FTSH",1,1,-1,-1,-1,0,1,1,1,0,1,-1,-1,0,1,1,1,-1,0,-1,0
"RHO",1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
"METK",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1
"GUAB",-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,-1,0,-1,-1,-1,-1,-1
"COPA",-1,-1,1,1,-1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1
"NUSA",1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
"RPOA",1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,-1,-1,0,-1,0,-1,-1
"LYSS",1,0,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,0,1,-1,-1,-1,1
"METG",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1
"GND",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1
"MGLB",1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"LIVJ",-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1
"METH",-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,1
"MDH",-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,1,1,1,1,1
"TYPA",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"YDGA",1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,0,0,1,0,-1
"FHUA",-1,0,0,1,0,1,1,1,0,-1,-1,1,1,0,1,1,1,1,1,1,0
"PPID",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"RNB",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,1
"GLNS",1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0
"FBAA",-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,-1,1
"CYSK",-1,-1,1,1,-1,1,0,-1,-1,-1,-1,1,1,1,1,1,-1,1,1,1,1
"YEAG",-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,1,1,1,0
"CYSN",-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
"PRC",-1,-1,0,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
"FADB",1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,0,1,1,1,1,1
"PGM",1,1,1,1,1,1,1,1,1,1,1,1,1,-1,0,-1,0,1,1,0,0
"TALB",1,1,-1,1,0,1,1,1,-1,-1,-1,1,1,1,1,1,1,0,1,1,1
"PEPA",1,-1,0,1,1,1,1,1,1,1,1,1,1,-1,0,-1,1,1,1,0,1
"THRC",-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,0
"LPDA",1,1,1,1,1,-1,1,1,1,1,0,1,1,-1,-1,-1,1,1,1,1,1
"YAHK",-1,-1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-1
"SURA",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,1,-1,-1
"RNR",1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ASNS",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0
"SERS",1,1,1,-1,-1,-1,0,-1,-1,-1,-1,1,1,0,0,1,1,0,-1,0,1
"MALE",1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1
"PYRB",-1,-1,1,1,1,1,-1,1,1,1,1,-1,0,0,-1,1,1,1,1,1,1
"ILVD",-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,1,-1,-1,1,-1,-1,-1,0
"YDIJ",-1,-1,1,1,0,1,1,1,1,1,1,-1,-1,-1,-1,-1,0,0,0,1,1
"CIRA",-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,1,-1,-1,0,1
"CLPA",1,0,0,-1,0,0,0,1,1,1,1,-1,-1,-1,0,0,1,1,0,-1,1
"DEGP",-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,0,-1,-1,1
"LPTD",1,1,-1,-1,0,-1,-1,-1,-1,0,0,1,1,1,0,1,-1,-1,0,-1,-1
"TOPA",1,0,-1,0,0,0,0,1,1,1,1,1,1,-1,0,-1,1,1,0,1,1
"ARGS",1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"GLTX",1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"RPSB",1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1
"BGLX",1,1,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,-1
"GATY",1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,1
"PTSG",-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,0,-1,1,-1,-1,-1,-1,-1,1
"PYRC",-1,-1,-1,1,-1,-1,0,-1,-1,-1,-1,1,1,1,-1,1,-1,-1,0,1,0
"ARGH",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1
"ASNB",-1,1,1,-1,-1,1,1,0,1,0,-1,-1,-1,-1,1,0,1,1,-1,-1,1
"ASPC",-1,-1,1,1,1,1,1,1,1,-1,-1,-1,-1,1,0,1,1,1,1,1,1
"SUCC",1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,1
"SUCD",1,1,1,1,1,1,1,1,1,1,1,0,0,1,-1,-1,1,1,1,1,1
"CLPX",1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,0
"HSLU",1,1,0,0,0,1,-1,1,0,-1,-1,1,1,-1,1,1,1,0,-1,1,1
"MFD",0,0,1,0,0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1
"PHES",-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"ACCC",1,1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0
"FABB",1,1,1,1,1,1,1,1,1,1,1,-1,-1,0,1,1,-1,1,1,1,-1
"FADE",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1
"GATZ",1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,1
"PURA",1,-1,1,-1,-1,0,1,1,1,1,1,0,1,0,-1,1,1,-1,0,0,0
"PYRG",1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
"TRPE",-1,-1,-1,-1,0,1,1,1,1,1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1
"GLTD",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0
"ILVB",-1,-1,1,0,-1,1,-1,1,1,0,0,-1,-1,-1,-1,-1,0,1,-1,1,-1
"MAEA",1,1,1,1,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0
"SDHB",1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,1
"GPMI",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,-1,1
"CUSA",-1,-1,1,1,-1,1,0,0,0,-1,-1,1,-1,-1,1,-1,0,1,0,1,1
"HFLK",1,0,1,1,-1,1,1,1,1,1,1,0,1,-1,1,-1,-1,1,0,0,1
"TOLC",-1,1,1,0,-1,1,-1,-1,-1,-1,-1,1,1,1,0,1,1,1,1,1,1
"RPLE",1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
"ACCA",1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"PLSB",1,0,1,0,0,0,1,1,1,1,1,1,1,-1,1,0,1,1,1,0,1
"PDXB",-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,1,0,0,0,1,0,0,1,1,1
"SERC",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1
"TALA",-1,-1,1,0,1,0,-1,-1,0,1,1,1,1,1,1,1,-1,0,1,-1,-1
"XYLA",1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0
"ZWF",-1,-1,-1,-1,0,0,0,-1,-1,0,1,1,1,1,1,1,1,-1,1,-1,1
"LYSC",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"TYRA",-1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
"FLIY",-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,1,1,0,-1,1,-1,1,1,-1,1
"SUCB",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1
"PCKA",1,1,1,1,1,1,1,1,1,1,1,1,1,0,-1,-1,1,1,1,1,1
"PMBA",0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"YGFZ",1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1
"FEPA",-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,-1,-1,-1
"FIU",1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,0,1,1,-1,-1,-1,-1
"OMPT",-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,-1,-1,-1,-1,-1,-1
"UVRA",1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0
"NADE",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,-1,0,-1,-1,-1,-1,-1
"ENO",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,1,-1,1
"TKTA",1,1,0,1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1
"DEOD",1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"DCP",-1,-1,1,1,0,0,-1,0,0,0,0,0,-1,1,0,1,1,0,1,-1,-1
"PEPB",-1,1,1,1,1,1,0,1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,1
"ARGT",-1,-1,1,1,1,1,1,1,1,1,1,1,1,0,-1,-1,-1,1,1,1,1
"PRPC",-1,-1,-1,1,0,-1,-1,-1,1,1,1,0,-1,1,1,-1,0,-1,1,-1,-1
"STHA",1,1,1,1,1,1,1,1,1,1,1,1,1,0,-1,1,1,1,1,1,1
"YQHD",1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,1,1,-1,1,-1,-1,-1,1
"ENTF",-1,0,0,0,0,0,0,0,0,0,-1,1,1,1,0,1,1,-1,0,-1,0
"ACRA",1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
"OMPF",-1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,0,1,1,1,1
"BAMC",-1,0,-1,-1,0,-1,0,-1,-1,-1,-1,1,1,1,0,1,0,0,0,-1,0
"HISS",1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1
"RPLA",1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"FABI",1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"LAMB",1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1
"MALP",0,0,-1,0,1,0,0,1,1,1,1,0,0,-1,-1,0,-1,1,0,0,1
"PFKA",-1,-1,-1,-1,-1,0,-1,1,-1,-1,0,-1,-1,-1,-1,-1,1,-1,1,-1,1
"MTLA",1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1
"RBSB",1,1,1,1,1,1,1,1,1,1,1,1,1,-1,0,-1,-1,1,1,1,1
"PURB",-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,1
"ARGD",-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
"LEUC",-1,-1,1,1,1,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1
"TRPB",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
"GCVP",1,1,0,0,0,1,-1,1,0,0,0,-1,0,-1,0,0,0,1,0,1,1
"METL",-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,1
"GLTI",-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,-1
"MREB",1,1,0,1,-1,1,1,1,0,0,1,1,1,-1,0,-1,0,-1,1,1,1
"GOR",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"NUOF",1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,0,1,1,1,1,1
"HLDD",1,1,1,0,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,1,0,-1
"FFH",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"SECD",1,1,0,0,1,0,1,1,1,1,1,0,0,-1,1,0,1,1,0,1,1
"YNCE",-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,1,1,1,0,-1,1,1
"CYSP",-1,-1,0,0,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1
"LEPA",1,1,-1,-1,0,0,1,1,1,1,1,-1,-1,-1,0,-1,0,0,0,-1,1
"OMPC",1,-1,1,1,-1,-1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,-1,-1
"RHLB",1,0,0,0,0,0,0,1,1,1,1,-1,-1,-1,0,0,1,-1,0,0,1
"YHGF",1,1,0,0,0,0,0,1,1,0,0,-1,0,0,1,0,1,0,-1,0,1
"RAPA",1,1,0,0,1,0,0,1,1,1,1,1,1,-1,0,0,0,0,0,0,0
"RPSC",1,1,-1,-1,1,-1,-1,1,1,-1,-1,1,1,-1,1,-1,1,-1,-1,1,1
"KBL",1,1,1,0,-1,-1,0,-1,-1,-1,-1,0,0,0,-1,0,0,-1,-1,0,0
"DEOB",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"PYKA",1,1,1,1,1,1,1,1,1,1,1,0,1,-1,1,-1,0,1,1,1,1
"TPIA",-1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1
"GLMM",1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
"MANX",-1,-1,1,0,1,1,-1,1,1,1,1,1,1,-1,-1,-1,1,1,0,-1,1
"ADK",1,-1,1,1,-1,-1,1,-1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1,1,-1
"AROG",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,-1,-1,1
"SPEA",-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
