"","LB-Glucose","Glycerol...AA-Glucose","Acetate-Glucose","Fumarate-Glucose","Glucosamine-Glucose","Glycerol-Glucose","Pyruvate-Glucose","Chemostat.µ.0.5-Glucose","Chemostat.µ.0.35-Glucose","Chemostat.µ.0.20-Glucose","Chemostat.µ.0.12-Glucose","Stationary.phase.1.day-Glucose","Stationary.phase.3.days-Glucose","Osmotic.stress.glucose-Glucose","X42.C.glucose-Glucose","pH6.glucose-Glucose","Xylose-Glucose","Mannose-Glucose","Galactose-Glucose","Succinate-Glucose","Fructose-Glucose"
"TTCA",1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"ASTD",0,0,0,1,0,0,0,0,1,1,1,1,0,-1,0,-1,-1,0,0,0,0
"BETB",0,-1,0,0,-1,0,-1,0,-1,-1,-1,0,0,0,0,-1,0,0,0,-1,0
"FDOI",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLDB",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"GLCD",1,0,1,0,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,1,0,0,1
"GLPC",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GLTP",0,1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,0,0,-1,-1,-1,-1,-1
"MIOC",-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,0,1,-1,-1
"YQCA",1,0,1,-1,0,0,0,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"APPC",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
"CYOC",1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
"GLCA",1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0
"GLCF",1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0
"HYAA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HYCE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"RSXC",0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0
"RSXG",0,-1,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0
"SDHC",1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,1
"SDHD",1,0,1,1,0,0,1,1,1,1,1,-1,-1,0,0,-1,0,0,0,1,1
"ASR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"BARA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BCSG",-1,0,0,1,1,1,1,1,1,1,1,-1,-1,-1,-1,0,0,1,0,1,1
"BHSA",1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1
"BORD",1,1,-1,1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"CNU",1,0,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,1,-1,-1,-1,-1,0
"GNSA",1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,-1,0,0,-1,-1
"HDEA",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1
"PSPB",-1,-1,0,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,0,0,1,1,-1,0,1
"SRA",-1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,0
"YAJD",0,-1,0,1,1,1,1,1,1,1,0,1,0,-1,-1,-1,0,1,1,1,1
"YBGS",1,0,1,0,0,-1,-1,-1,0,1,1,1,1,1,0,1,1,0,1,0,-1
"YDFZ",-1,-1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,-1
"YDIH",-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,-1,1,1,-1,-1,-1,-1
"YDIZ",-1,-1,1,1,-1,-1,0,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"YGDI",-1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,-1,1,1,1,-1
"YHFG",0,0,-1,0,0,0,-1,-1,0,1,1,1,1,1,0,1,0,0,1,0,0
"YHHM",0,-1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,-1,0,0,-1,-1
"YIBT",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,0,-1,-1,-1,-1,-1,-1
"YJJA",1,0,-1,0,0,0,0,-1,-1,-1,0,-1,-1,1,0,1,0,0,1,0,0
"YNBE",0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
"YCIG",-1,1,0,-1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,-1,0
"ADDB",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0
"YEIU",1,1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,0,-1,0,-1,-1,-1,0
"ILVG",-1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,0
"WECF",0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0
"ZNTB",1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1
"ACRD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AMPE",0,0,0,0,0,0,0,0,0,1,1,-1,-1,-1,0,-1,-1,0,-1,0,-1
"MDTB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"MDTF",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0
